Temperatura (K),Delta T
0.8188428683548805,2.0485374327191946e+18
0.8270158551690898,1.5609495274581507e+18
0.8351563837849009,5.794045129913099e+18
0.8432924268147722,2.382512202243161e+18
0.8514662235264387,1.4765799822309396e+19
0.8596438828260221,2.3050734461291917e+18
0.867814502247628,1.1218922815382974e+19
0.8759031974257212,2.721877964253072e+19
0.8839463514463692,1.5974463448355619e+19
0.8921586494375038,1.0257049217475212e+20
0.9004252728585933,4.4382437415799775e+19
0.9085669851706978,1.2427349441824258e+19
0.9166463353780434,9.358304103863719e+19
0.9247636884664029,1.7277112207263422e+19
0.9329097617648616,9.310933286608794e+19
0.9410287969479689,3.2353535640158986e+18
0.9491689517649596,1.811706338478005e+18
0.9573469848633631,4.548906659172755e+18
0.9654705679322266,2.1366040636557553e+18
0.9736291634914941,5.125633069847515e+18
0.9818407138849722,4.792006694050612e+19
0.9899307173589604,1.2326168631356852e+19
0.9980622125030592,9.52712798466781e+17
1.0062309006307149,1.5352955786965908e+18
1.0143669436605864,1.809987740736076e+18
1.0225397435753776,1.9255888830971814e+18
1.0306778424988003,3.0525629788605076e+18
1.0388249748939355,2.480798390388022e+18
1.0470008274991696,7.779936338248344e+17
1.0551708239227364,5.189723119964208e+18
1.0632694870696167,3.2809336166530053e+18
1.0713667173209847,7.997613907411837e+17
1.0795402025336316,8.612226118716666e+17
1.087677740758816,1.8088905335902326e+18
1.0958507898728258,1.1258204303879391e+18
1.1040159269116006,4.790636522414618e+18
1.112147172856481,1.0083343764070029e+18
1.1203283832449449,8.329748128340553e+17
1.1284971336724174,1.499931420520502e+18
1.1366627691096296,2.9707678807185393e+18
1.1447880342732408,7.825200415229222e+17
1.1529053250617998,8.103196318064846e+17
1.1610764428818598,2.550762953388031e+18
1.1692532922839696,2.652162297852006e+18
1.1773456631505452,2.821164049434968e+18
1.1854471297886495,1.6415204005941873e+18
1.1936162540149422,5.868140077958942e+18
1.201780768055678,2.0768489373875935e+18
1.2099424163053725,2.449773602243854e+18
1.2181121635297205,7.330224856115482e+18
1.226266958800888,1.0287263068113897e+18
1.2344081727145548,1.28830892179219e+18
1.2425881371069247,4.306555719611664e+18
1.2507577597316553,2.4190639901521147e+18
1.2588973538504074,1.6442235671082908e+18
1.2670101590530107,4.861624134188754e+18
1.2751402836013979,1.3697644735475199e+20
1.2833071650347205,5.504636261448109e+18
1.291487004827473,1.5651918128676787e+18
1.2996264743466077,4.959183255036524e+18
1.3077569726938147,1.3523713809467462e+19
1.3159248509240131,8.79738079586812e+18
1.3240735408142785,1.5212998545840595e+19
1.332252633009374,5.373081775754943e+19
1.3404446835638995,4.225945674085551e+20
1.3485912552608121,5.942802300689205e+18
1.3567110380415757,1.365417749136556e+19
1.364857734338074,4.5533557099532646e+18
1.3729884818845162,1.911884696253216e+18
1.3811207246262716,2.4172382416239805e+18
1.3893318389211127,4.4220064777625375e+18
1.3974922411747288,1.206796779270455e+19
1.4055763884670496,7.2252094759181935e+19
1.4136976664431264,1.0712488992030478e+19
1.421862429683081,7.232750318802528e+18
1.430022831936681,1.3542622267318824e+20
1.4381647934480046,1.0257430554760937e+19
1.4463067549593442,1.0765937339033119e+19
1.4544752561875978,5.901956364599603e+18
1.4626222016833148,1.264273183960373e+19
1.4707651599915295,1.1783987804592853e+19
1.4789539709561936,7.37284115896065e+18
1.4870386166469682,4.366438835238401e+19
1.495155409037089,2.5924587540170394e+18
1.5033185524821133,2.940943183620231e+19
1.5114362170695086,3.2416434729299794e+18
1.5196221622431474,1.5168981437844547e+20
1.5277707275337948,4.163476731687824e+19
1.535932001984669,1.6246148035187608e+19
1.5440927780371057,3.782889753093869e+20
1.5522008484545344,5.527083456485404e+19
1.5603769502589877,8.819480449035624e+18
1.5685766013897284,9.892719685982337e+18
1.5767084703326477,9.130806593273745e+20
1.5848033331914277,1.9075924169161012e+20
1.5929725820173382,7.877891320107781e+20
1.6011090611458303,4.532312287999002e+25
1.6092010582135696,1.949880962123627e+19
1.6174149136998344,1.2477148434878727e+21
1.625590018707412,2.897042408537403e+19
1.6337129164784356,2.4438229439821808e+19
1.641854504190923,2.0469449930213507e+20
1.6500024464835477,1.0939901071847266e+19
1.6581754332977405,2.2740933569982526e+20
1.6663258675825539,3.7182583561657236e+18
1.674488761828359,1.9618324589866648e+20
1.6826157713865018,4.0128545331215294e+19
1.690793243786651,1.1203914674539246e+19
1.6989115313721015,5.774580584568758e+19
1.7069768641233252,1.9807401755682482e+20
1.7151644290918946,3.1307329999785603e+19
1.7233285693337939,2.4178100127952253e+19
1.7314600644778926,3.2273296375917255e+20
1.7396323036944294,8.66223680873618e+21
1.7477690320221568,1.5977007208451073e+23
1.7558776008380228,6.785578078880448e+19
1.7640503384530135,4.423670489741303e+21
1.7722096193101207,1.2737405292473245e+21
1.780054410751745,1.0590392414665014e+21
1.7863615184071557,4.5227718268520096e+19
1.7904826505058196,5.978292789003366e+17
1.7929316558391357,3.0499363492223046e+17
1.793851325560078,1.1750662408544848e+17
1.793030961728249,7.23307440933536e+16
1.7906163458872815,4.303435887084366e+16
1.787315702220048,3.865631829755538e+16
1.783855571052095,2.8111377798918984e+16
1.7806396551196308,2.0666438562797176e+16
1.777887623534948,2.2826679505056456e+16
1.7756789708492042,2.182707204612063e+16
1.774004352091651,2.1937302573850424e+16
1.772879466813142,2.106271569126193e+16
1.7722858742714003,2.3835154929048596e+16
1.77217884320647,2.3490931336178676e+16
1.772426048832585,2.4656558459328668e+16
1.7728768502213361,2.6586816662360376e+16
1.7733845936318315,2.6317484736766508e+16
