Temperatura (K),Suceptibilidad
127.33292388916,0.00016021600928245496
127.831195831299,0.00015969369469605438
128.331642150879,0.00015910483631378109
128.831604003906,0.0001586084601968407
129.329490661621,0.00015798626113452865
129.830436706543,0.00015742100931667174
130.330619812012,0.00015690972166568289
130.830612182617,0.00015639710235451176
131.328132629395,0.00015578781956531362
131.825164794922,0.00015525729876895227
132.325492858887,0.00015478848142769455
132.826171875,0.0001542606313893221
133.321678161621,0.0001537426899273397
133.817741394043,0.00015320040771661062
134.317947387695,0.0001527313842050637
134.81787109375,0.0001521790386282443
135.31761932373,0.0001516755193014247
135.817863464355,0.00015120410691948243
136.317192077637,0.00015061647375968327
136.815689086914,0.00015013110797015435
137.316558837891,0.00014968719216728403
137.816795349121,0.00014917038548723226
138.31519317627,0.00014866181286232505
138.811950683594,0.0001482222021095038
